Ranking,Name,Date,Year,Sales,Audiencebox,Audience,Screen,History,Action,Drama,Horor,Disaster,Comic,Erotic,Crime,Actorpower,Thousand,Factory,콜라보,스태프수,동시개봉,제작사
221,아라한 장풍대작전,2004-04-30,4,19402959201,4.04E+00,2050000,87,0,1,0,0,0,0,0,0,40,1,0,,,,
222,비열한 거리,2006-06-15,6,7992950205,4.04E+00,2047808,82,0,1,0,0,0,0,0,0,29,0,1,,,,
223,시실리 2km,2004-08-13,4,10204928492,4.04E+00,1987380,36,0,0,0,1,0,0,0,0,30,0,1,,,,
224,남자가 사랑할 때,2014-01-22,14,14510222300,4.04E+00,1979311,531,0,0,1,0,0,0,0,0,28,1,0,,,,
225,효자동 이발사,2004-05-05,4,10294959254,4.04E+00,1972377,65,0,0,1,0,0,0,0,0,30,0,1,,,,
226,가족,2004-09-03,4,9928485929,4.04E+00,1932304,44,0,0,1,0,0,0,0,0,34,0,0,,,,
227,애자,2009-09-09,9,13785879439,4.04E+00,1922634,262,0,0,1,0,0,0,0,0,38,0,0,,,,
228,잠복근무,2005-03-17,5,10203949205,4.04E+00,1914941,64,0,1,0,0,0,1,0,0,30,0,1,,,,
229,그림자 살인,2009-04-02,9,12805808556,4.04E+00,1914779,387,0,1,0,0,0,0,0,0,36,0,1,,,,
230,오늘의 연애,2015-01-14,15,14924654487,4.04E+00,1891993,709,0,0,1,0,0,1,0,0,38,0,1,,,,
231,글러브,2011-01-20,11,13757574500,4.04E+00,1888100,605,0,0,1,0,0,0,0,0,32,0,1,,,,
232,라디오 스타,2006-09-28,6,13802030502,4.04E+00,1879501,72,0,0,1,0,0,0,0,0,36,1,0,,,,
233,해결사,2010-09-09,10,14063913437,4.04E+00,1873327,524,0,1,0,0,0,0,0,0,32,3,0,,,,
234,코리아,2012-05-03,12,13448848500,4.04E+00,1872681,537,0,0,1,0,0,0,0,0,27,0,1,,,,
235,아이들...,2011-02-17,11,13579712500,4.04E+00,1867849,504,0,0,0,1,0,0,0,0,34,0,1,,,,
236,연애의 온도,2013-03-21,13,13798864446,4.04E+00,1865195,567,0,0,1,0,0,0,0,0,38,0,1,,,,
237,구세주,2006-02-16,6,13920949205,4.04E+00,1858668,54,0,0,1,0,0,0,0,0,37,0,0,,,,
238,조폭마누라2-돌아온 전설,2003-09-05,3,13029492059,4.04E+00,1858077,55,0,1,0,0,0,0,0,0,42,0,1,,,,
239,노무현입니다,2017-05-25,17,14554935612,4.04E+00,1854867,775,0,0,1,0,0,0,0,0,42,0,0,,,,
240,집으로 가는 길,2013-12-11,13,13048519745,4.04E+00,1854625,740,0,0,1,0,0,0,0,0,36,0,1,,,,
241,악마를 보았다,2010-08-12,10,14148937025,4.04E+00,1848418,494,0,0,0,1,0,0,0,1,41,0,1,,,,
242,바람피기 좋은 날,2007-02-08,7,9020402057,4.04E+00,1847875,95,0,0,1,0,0,0,0,0,37,0,0,,,,
243,나의 PS 파트너,2012-12-06,12,13896872616,4.04E+00,1831725,552,0,0,1,0,0,1,0,0,33,0,1,,,,
244,흡혈형사 나도열,2006-02-09,6,11020304929,4.04E+00,1824822,70,0,1,0,0,0,0,0,0,37,0,1,,,,
245,차우,2009-07-15,9,12676951144,4.04E+00,1799356,397,0,0,0,0,0,0,0,0,40,0,1,,,,
246,목포는 항구다,2004-02-20,4,9302959291,4.04E+00,1795700,32,0,1,0,0,0,0,0,0,32,0,0,,,,
247,아내가 결혼했다,2008-10-23,8,11995855000,4.04E+00,1788748,414,0,0,1,0,0,0,0,0,32,0,1,,,,
248,여고괴담 세번째 이야기: 여우계단,2003-08-01,3,13205144600,4.04E+00,1784479,44,0,0,0,1,0,0,0,0,40,0,0,,,,
249,공범,2013-10-24,13,12333110882,4.03E+00,1766285,611,0,0,1,0,0,0,0,0,33,0,1,,,,
250,대호,2015-12-16,15,13489904632,4.03E+00,1762742,892,0,1,0,0,0,0,0,0,39,1,0,,,,
251,제보자,2014-10-02,14,13515762802,4.03E+00,1755181,676,0,0,1,0,0,0,0,0,35,1,0,,,,
252,바람난 가족,2003-08-14,3,12937109200,4.03E+00,1748258,32,0,0,0,0,0,1,0,0,32,0,0,,,,
253,거룩한 계보,2006-10-19,6,13294438740,4.03E+00,1744677,94,0,0,0,0,0,1,0,0,37,1,1,,,,
254,전설의 주먹,2013-04-10,13,12777314500,4.03E+00,1744585,724,0,1,0,0,0,0,0,0,37,0,1,,,,
255,연애의 목적,2005-06-10,5,12377516010,4.03E+00,1735977,75,0,0,1,0,0,1,0,0,36,0,1,,,,
256,엽기적인 그녀,2001-07-26,1,12722622360,4.03E+00,1735692,0,0,0,0,0,0,1,0,0,38,0,0,,,,
257,주먹이 운다(Crying Fist),2005-04-01,5,13032716580,4.03E+00,1728477,71,0,1,0,0,0,0,0,0,27,0,0,,,,
258,러브픽션,2012-02-29,12,13200412500,4.03E+00,1726202,617,0,0,1,0,0,0,0,0,25,0,0,,,,
259,평양성,2011-01-27,11,12684530500,4.03E+00,1717566,451,1,0,0,0,0,0,0,0,23,1,1,,,,
260,파파로티,2013-03-14,13,11825934000,4.03E+00,1716429,552,0,0,1,0,0,0,0,0,34,2,1,,,,
261,쎄시봉,2015-02-05,15,13570381911,4.03E+00,1714803,829,1,0,0,0,0,0,0,0,22,2,1,,,,
262,밀양,2007-05-23,7,12663535056,4.03E+00,1710364,83,0,0,1,0,0,0,0,0,26,1,0,,,,
263,님은 먼 곳에,2008-07-24,8,11211235000,4.03E+00,1706576,499,1,0,1,0,0,0,0,0,28,1,1,,,,
264,품행제로,2002-12-26,2,12218332770,4.03E+00,1694637,29,0,1,0,0,0,0,0,0,27,0,0,,,,
265,조폭마누라3,2006-12-28,6,13525410465,4.03E+00,1690465,71,0,1,0,0,0,1,0,0,34,0,1,,,,
266,불꽃처럼 나비처럼,2009-09-24,9,12447633504,4.03E+00,1690294,437,0,1,0,0,0,0,0,0,22,0,1,,,,
267,알포인트,2004-08-20,4,12042570000,4.03E+00,1689000,42,0,0,0,1,0,0,0,0,22,0,0,,,,
268,피끓는 청춘,2014-01-22,4,11688382888,4.03E+00,1676040,679,0,0,1,0,0,0,0,0,34,0,1,,,,
269,공모자들,2012-08-29,12,12240964500,4.03E+00,1646142,496,0,0,0,1,0,0,0,1,36,2,0,,,,
270,그대를 사랑합니다,2011-02-17,11,12040035000,4.03E+00,1645126,242,0,0,1,0,0,0,0,0,32,0,0,,,,
271,임금님의 사건수첩,2017-04-26,17,12648793723,4.03E+00,1634403,1054,1,0,0,0,0,0,0,0,25,0,1,,,,
272,고死 : 피의 중간고사,2008-08-07,8,10299976000,4.03E+00,1634051,270,0,0,0,1,0,0,0,0,38,0,0,,,,
273,두근두근 내 인생,2014-09-03,14,12291081634,4.03E+00,1624601,629,0,0,1,0,0,0,0,0,21,0,1,,,,
274,권순분여사 납치사건,2007-09-12,7,11690551800,4.03E+00,1619190,86,0,0,0,0,0,1,0,0,35,1,0,,,,
275,우아한 거짓말,2014-03-13,14,11727360300,4.03E+00,1618988,555,0,0,1,0,0,0,0,0,32,1,0,,,,
276,무방비도시,2008-01-10,8,10591349944,4.03E+00,1613728,336,0,1,0,0,0,0,0,0,22,0,1,,,,
277,하울링,2012-02-16,12,11765293500,4.03E+00,1612554,550,0,0,0,0,0,0,0,0,31,0,1,,,,
278,복면달호,2007-02-14,7,11810037360,4.03E+00,1611192,64,0,0,0,0,0,1,0,0,23,0,0,,,,
279,신라의 달밤,2001-06-23,1,12576210020,4.03E+00,1608211,0,0,0,0,0,0,1,0,0,22,0,0,,,,
280,가문의 영광,2002-09-12,2,11449175750,4.03E+00,1605775,45,0,0,1,0,0,0,0,0,29,0,0,,,,
281,더 폰,2015-10-22,15,12309164568,4.03E+00,1593694,794,0,1,0,0,0,0,0,1,31,0,0,,,,
282,간 큰 가족,2005-06-09,5,11517664740,4.03E+00,1593038,75,0,0,0,0,0,1,0,0,30,0,1,,,,
283,집으로...,2002-04-04,2,11984766800,4.03E+00,1576943,32,0,0,1,0,0,0,0,0,21,0,0,,,,
284,와일드 카드,2003-05-16,3,12418254900,4.03E+00,1571931,47,0,1,0,0,0,0,0,0,34,0,0,,,,
285,무적자,2010-09-16,10,11816488677,4.03E+00,1571432,416,0,1,0,0,0,0,0,0,26,0,1,,,,
286,원스어폰어타임,2008-01-31,8,10180143111,4.03E+00,1562486,315,0,1,0,0,0,0,0,0,26,0,0,,,,
287,야수와 미녀,2005-10-27,5,12493378564,4.03E+00,1561282,54,0,0,0,0,0,1,0,0,34,0,1,,,,
288,마파도2,2007-01-18,7,12643086591,4.03E+00,1560297,66,0,0,0,0,0,1,0,0,18,0,1,,,,
289,용의자X,2012-10-18,12,11241013000,4.03E+00,1552055,553,0,0,1,0,0,0,0,0,35,0,1,,,,
290,클래식,2003-01-30,3,11775260447,4.03E+00,1545107,49,0,0,1,0,0,0,0,0,25,0,0,,,,
291,해바라기,2006-11-23,6,12183828526,4.03E+00,1543429,64,0,0,1,0,0,0,0,0,34,0,1,,,,
292,유감스러운 도시,2009-01-22,9,10300187478,4.03E+00,1534911,375,0,1,0,0,0,0,0,0,30,0,1,,,,
293,작전,2009-02-12,9,10198304795,4.03E+00,1534407,393,0,0,1,0,0,0,0,0,17,0,1,,,,
294,S 다이어리,2004-10-22,4,10876064000,4.03E+00,1531840,58,0,0,0,0,0,1,0,0,35,0,0,,,,
295,중천,2006-12-21,6,10891567860,4.03E+00,1531220,87,1,0,0,0,0,0,0,0,27,0,1,,,,
296,내사랑 싸가지,2004-01-16,4,11937570000,4.03E+00,1513000,33,0,0,0,0,0,1,0,0,17,0,0,,,,
297,너의 결혼식,2018-08-22,18,12565641300,4.03E+00,1510988,962,0,0,1,0,0,0,0,0,35,0,0,,,,
298,퍼펙트 게임,2011-12-21,11,11220408500,4.03E+00,1507084,413,0,0,1,0,0,0,0,0,24,0,1,,,,
299,리틀 포레스트,2018-02-28,18,11924942185,4.03E+00,1505582,884,0,0,1,0,0,0,0,0,35,1,0,,,,
300,더 게임,2008-01-30,8,9869346557,4.03E+00,1496214,339,0,0,0,1,0,0,0,0,20,0,0,,,,
301,부라더,2017-11-02,17,11783109998,4.03E+00,1492903,889,0,0,1,0,0,0,0,0,17,0,0,,,,
302,B형 남자친구,2005-02-03,5,11882146546,4.03E+00,1485454,47,0,0,0,0,0,1,0,0,28,0,1,,,,
303,해무(海霧),2014-08-13,14,11706502519,4.03E+00,1475472,584,0,0,0,1,0,0,0,0,29,1,0,,,,
304,차이나타운,2015-04-29,15,11989400678,4.03E+00,1472006,551,0,1,0,0,0,0,0,0,31,1,0,,,,
305,홀리데이,2006-01-19,6,11510689440,4.03E+00,1458896,42,0,0,1,0,0,0,0,0,35,0,1,,,,
306,각설탕,2006-08-10,6,11111577600,4.03E+00,1446820,65,0,0,1,0,0,0,0,0,25,0,1,,,,
307,인간중독,2014-05-14,14,11284787400,4.03E+00,1441964,682,0,0,1,0,0,0,1,0,23,0,0,,,,
308,궁녀,2007-10-18,7,10886802608,4.03E+00,1438531,83,1,0,0,0,0,0,0,0,23,0,0,,,,
309,주홍글씨,2004-10-29,4,10852057401,4.03E+00,1437549,76,0,0,0,1,0,0,0,0,32,0,1,,,,
310,탐정 홍길동: 사라진 마을,2016-05-04,16,11514389845,4.03E+00,1430666,764,1,0,0,0,0,0,0,0,28,0,1,,,,
311,런닝맨,2013-04-04,13,10060239500,4.03E+00,1422844,567,0,1,0,0,0,1,0,0,31,0,0,,,,
312,조폭마누라,2001-09-27,1,10919584680,4.03E+00,1419972,0,0,1,0,0,0,0,0,0,29,0,0,,,,
313,검은 집,2007-06-21,17,10625788044,4.03E+00,1408882,71,0,0,0,1,0,0,0,0,25,0,1,,,,
314,구르믈 버서난 달처럼,2010-04-28,10,10408565262,4.03E+00,1407681,509,1,0,0,0,0,0,0,0,24,0,0,,,,
315,허브,2007-01-11,7,10802420718,4.03E+00,1406199,57,0,0,1,0,0,0,0,0,26,0,1,,,,
316,똥개,2003-07-16,3,10664100000,4.03E+00,1394000,39,0,0,1,0,0,1,0,0,27,0,0,,,,
317,기억의 밤,2017-11-29,17,10652346660,4.03E+00,1387599,751,0,0,0,1,0,0,0,0,18,0,0,,,,
318,골든슬럼버,2018-02-14,18,11413087798,4.03E+00,1387562,833,0,1,0,0,0,0,0,0,32,1,1,,,,
319,역도산,2004-12-15,4,9675529420,4.03E+00,1386179,70,1,0,0,0,0,0,0,0,20,0,1,,,,
320,브이아이피,2017-08-23,17,10956621835,4.03E+00,1373316,996,0,1,0,0,0,0,0,0,17,1,0,,,,
321,분홍신,2005-06-30,5,10955264780,4.03E+00,1371122,54,0,0,0,1,0,0,0,0,24,0,1,,,,
322,특별시민,2017-04-26,17,10494768945,4.03E+00,1362634,1154,0,0,1,0,0,0,0,0,18,4,1,,,,
323,차형사,2012-05-30,12,9752555296,4.03E+00,1346754,433,0,0,0,0,0,1,0,0,30,0,1,,,,
324,은교,2012-04-25,12,9917728000,4.03E+00,1346274,521,0,0,1,0,0,0,0,0,32,0,1,,,,
325,궁합,2018-02-28,18,10479059438,4.03E+00,1340149,966,1,0,0,0,0,0,0,0,26,1,1,,,,
326,미스터 고,2013-07-17,13,9337990000,4.03E+00,1328890,840,0,0,1,0,0,1,0,0,32,0,1,,,,
327,청담보살,2009-11-11,9,9687687439,4.03E+00,1321005,404,0,0,1,0,0,0,0,0,17,0,0,,,,
328,사라진 밤,2018-03-07,18,10698035316,4.03E+00,1315735,925,0,0,0,1,0,0,0,0,18,0,0,,,,
329,싸움의 기술,2006-01-05,16,10365306030,4.02E+00,1313727,54,0,0,1,0,0,0,0,0,21,0,1,,,,
330,간첩,2012-09-20,12,9316548500,4.02E+00,1310895,576,0,1,0,0,0,0,0,0,19,0,1,,,,
331,영화는 영화다,2008-09-11,8,8943849000,4.02E+00,1307688,326,0,1,0,0,0,0,0,0,21,0,0,,,,
332,장산범,2017-08-17,17,10341783083,4.02E+00,1306438,711,0,0,0,1,0,0,0,0,20,0,0,,,,
333,만남의 광장,2007-08-15,7,9589225560,4.02E+00,1306434,52,0,0,0,0,0,1,0,0,24,0,1,,,,
334,못말리는 결혼,2007-05-10,7,10161517490,4.02E+00,1304431,70,0,0,0,0,0,1,0,0,26,0,1,,,,
335,최강로맨스,2007-01-25,7,9593839216,4.02E+00,1299274,51,0,0,0,0,0,1,0,0,17,0,1,,,,
336,킹콩을 들다,2009-07-01,9,8597263166,4.02E+00,1277800,411,0,0,1,0,0,0,0,0,25,0,0,,,,
337,"달마야, 서울 가자",2004-07-09,4,9417888000,4.02E+00,1272000,54,0,0,0,0,0,1,0,0,17,0,0,,,,
338,달콤한 인생,2005-04-01,5,9486098700,4.02E+00,1271595,82,0,1,0,0,0,0,0,0,26,0,1,,,,
339,황진이,2007-06-06,7,9960578316,4.02E+00,1270644,106,1,0,0,0,0,0,0,0,18,0,0,,,,
340,이장과 군수,2007-03-29,7,9594713520,4.02E+00,1269142,65,0,0,1,0,0,1,0,0,29,0,1,,,,
341,즐거운 인생,2007-09-13,7,9466124150,4.02E+00,1263835,82,0,0,0,0,0,1,0,0,17,0,1,,,,
342,미스터 소크라테스,2005-11-10,5,9881185950,4.02E+00,1261965,52,0,1,0,0,0,0,0,0,18,0,1,,,,
343,달마야 놀자,2001-11-08,1,9578505300,4.02E+00,1253075,0,0,0,0,0,0,1,0,0,18,0,0,,,,
344,간기남,2012-04-11,12,9356404500,4.02E+00,1246185,356,0,0,0,0,0,1,0,0,17,0,1,,,,
345,신부수업,2004-08-05,4,9102379176,4.02E+00,1242476,56,0,0,1,0,0,0,0,0,27,0,0,,,,
346,특별수사: 사형수의 편지,2016-06-16,16,9929947065,4.02E+00,1241899,691,0,0,1,0,0,0,0,1,21,0,0,,,,
347,행복,2007-10-03,7,9471987960,4.02E+00,1239789,89,0,0,1,0,0,0,0,0,32,0,1,,,,
348,육혈포 강도단,2010-03-18,10,8784927671,4.02E+00,1233582,319,0,0,0,0,0,1,0,0,22,0,1,,,,
349,천군,2005-07-15,5,9851606080,4.02E+00,1232992,58,1,0,0,0,0,1,0,0,17,0,1,,,,
350,텔미썸딩,1999-11-13,-1,9623520000,4.02E+00,1230000,0,0,0,0,1,0,0,0,0,25,0,0,,,,
351,심야의 F.M.,2010-10-14,10,9328562568,4.02E+00,1228673,422,0,0,0,1,0,0,0,0,26,0,1,,,,
352,두사부일체,2001-12-08,1,9026843700,4.02E+00,1228142,0,0,0,0,0,0,1,0,0,24,0,1,,,,
353,찌라시: 위험한 소문,2014-02-20,14,9111648087,4.02E+00,1221420,560,0,0,1,0,0,0,0,0,24,0,1,,,,
354,결혼전야,2013-11-21,13,8444337719,4.02E+00,1214836,524,0,0,1,0,0,0,0,0,18,0,0,,,,
355,깡철이,2013-10-02,13,8572344462,4.02E+00,1209363,707,0,0,1,0,0,0,0,0,31,1,1,,,,
356,악녀,2017-06-08,17,9739662144,4.02E+00,1208081,685,0,1,0,0,0,0,0,0,24,0,0,,,,
357,인사동 스캔들,2009-04-29,9,7900084842,4.02E+00,1206101,314,0,0,1,0,0,0,0,0,25,0,0,,,,
358,해빙,2017-03-01,17,9905406822,4.02E+00,1204600,915,0,0,0,1,0,0,0,0,27,2,1,,,,
359,그녀를 믿지 마세요,2004-02-20,4,8426796000,4.02E+00,1204000,43,0,0,0,0,0,1,0,0,26,0,0,,,,
360,형사; Duelist,2005-09-08,5,8698745580,4.02E+00,1203146,88,1,0,0,0,0,0,0,0,19,0,0,,,,
361,시간이탈자,2016-04-13,16,9731838195,4.02E+00,1202384,733,0,0,1,0,0,0,0,0,17,0,1,,,,
362,R2B: 리턴투베이스,2012-08-15,12,8602921371,4.02E+00,1201944,539,0,1,0,0,0,0,0,0,29,1,1,,,,
363,더 웹툰: 예고살인,2013-06-27,13,8534322070,4.02E+00,1201033,541,0,0,0,1,0,0,0,0,25,0,1,,,,
364,짝패,2006-05-25,6,8904501840,4.02E+00,1196520,50,1,0,0,0,0,0,0,0,28,0,1,,,,
365,바람 바람 바람,2018-04-05,18,9784445375,4.02E+00,1194239,985,0,0,1,0,0,0,0,0,20,0,0,,,,
366,파송송 계란탁,2005-02-18,5,9125211200,4.02E+00,1193150,48,0,0,1,0,0,0,0,0,28,0,1,,,,
367,몽정기2,2005-01-14,5,8964853915,4.02E+00,1188815,41,0,0,1,0,0,1,0,0,22,0,1,,,,
368,빅매치,2014-11-27,14,8952096578,4.02E+00,1177438,627,0,1,0,0,0,1,0,0,24,1,0,,,,
369,여선생 VS 여제자,2004-11-17,4,8995538160,4.02E+00,1175580,55,0,0,0,0,0,1,0,0,21,0,1,,,,
370,서양 골동 양과자점 앤티크,2008-11-13,8,7367880833,4.02E+00,1173310,451,0,0,1,0,0,0,0,0,26,0,0,,,,
371,슬로우 비디오,2014-10-02,14,8913092219,4.02E+00,1169562,618,0,0,1,0,0,1,0,0,20,3,0,,,,
372,동주,2016-02-17,16,8870143589,4.02E+00,1169335,499,1,0,0,0,0,0,0,0,21,0,0,,,,
373,"당신, 거기 있어줄래요",2016-12-14,16,9361133648,4.02E+00,1168625,767,0,0,1,0,0,1,0,0,31,1,1,,,,
374,돈의 맛,2012-05-17,12,8780178611,4.02E+00,1166018,643,0,0,1,0,0,0,0,0,30,0,0,,,,
375,장수상회,2015-04-09,15,8729412643,4.02E+00,1163575,688,0,0,1,0,0,0,0,0,22,2,1,,,,
376,연애술사,2005-05-20,5,8889739908,4.02E+00,1163274,55,0,0,0,0,0,1,0,0,17,0,1,,,,
377,공공의 적,2002-01-24,2,8737964500,4.02E+00,1161500,54,0,1,0,0,0,0,0,0,32,0,0,,,,
378,가문의 영광5 - 가문의 귀환,2012-12-19,12,8330342500,4.02E+00,1160021,447,0,0,0,0,0,1,0,0,27,0,1,,,,
379,미씽: 사라진 여자,2016-11-30,16,8881616256,4.02E+00,1153109,790,0,0,0,1,0,0,0,1,25,0,0,,,,
380,용서는 없다,2010-01-07,10,8737627361,4.02E+00,1144238,334,0,1,0,0,0,0,0,0,27,1,0,,,,
381,"안녕, 형아",2005-05-27,5,8722127680,4.02E+00,1143136,45,0,0,1,0,0,0,0,0,19,0,0,,,,
382,고령화 가족,2013-05-09,13,8169492153,4.02E+00,1141222,583,0,0,1,0,0,1,0,0,30,0,1,,,,
383,김종욱 찾기,2010-12-08,10,8271660983,4.02E+00,1130638,442,0,0,1,0,0,1,0,0,25,0,1,,,,
384,하루,2017-06-15,17,9072737842,4.02E+00,1129609,781,0,0,1,0,0,0,0,0,18,0,0,,,,
385,챔피언,2018-05-01,18,9471193230,4.02E+00,1128784,874,0,0,1,0,0,0,0,0,23,2,0,,,,
386,성난 변호사,2015-10-08,15,8723650039,4.02E+00,1128288,607,0,0,1,0,0,0,0,0,20,0,1,,,,
387,6년째 연애중,2008-02-05,8,7460438000,4.02E+00,1123294,327,0,0,1,0,0,0,0,0,18,0,0,,,,
388,아랑,2006-06-28,6,8267591034,4.02E+00,1122399,46,0,0,0,1,0,0,0,0,18,0,1,,,,
389,특수본,2011-11-24,11,8096052500,4.02E+00,1118258,471,0,1,0,0,0,0,0,0,21,0,0,,,,
390,회사원,2012-10-11,12,8321175000,4.02E+00,1110523,549,0,1,0,0,0,0,0,0,30,0,1,,,,
391,간신,2015-05-21,15,8946842910,4.02E+00,1110246,697,1,0,0,0,0,0,0,0,19,0,1,,,,
392,령,2004-06-17,4,8198237986,4.02E+00,1108769,35,0,0,0,1,0,0,0,0,20,0,1,,,,
393,베스트셀러,2010-04-15,10,8110824681,4.02E+00,1099665,317,0,0,0,1,0,0,0,0,21,0,0,,,,
394,지금 사랑하는 사람과 살고 있습니까?,2007-08-15,7,7665833000,4.02E+00,1095119,76,0,0,1,0,0,0,0,0,25,0,0,,,,
395,그때 그 사람들,2005-02-03,5,7587734000,4.02E+00,1083962,45,0,0,1,0,0,0,0,0,25,0,0,,,,
396,내 남자의 로맨스,2004-07-16,4,7584892000,4.02E+00,1083556,47,0,0,0,0,0,1,0,0,32,0,1,,,,
397,오! 해피데이,2003-04-18,3,7512610000,4.02E+00,1073230,47,0,0,0,0,0,1,0,0,22,0,0,,,,
398,오빠생각,2016-01-21,16,8058857287,4.02E+00,1069436,855,0,0,1,0,0,0,0,0,29,0,0,,,,
399,새드무비,2005-10-20,5,8534120000,4.02E+00,1066765,87,0,0,1,0,0,0,0,0,27,0,0,,,,
400,"날, 보러와요",2016-04-07,16,8836039063,4.02E+00,1063421,683,0,0,0,1,0,0,0,0,25,0,0,,,,
401,수상한 고객들,2011-04-14,11,7953428000,4.02E+00,1059350,411,0,0,1,0,0,0,0,0,30,0,1,,,,
402,남극일기,2005-05-19,5,7443469440,4.02E+00,1057311,78,0,0,1,0,0,0,0,0,21,0,1,,,,
403,동창생,2013-11-06,13,7010197126,4.02E+00,1048280,660,0,1,0,0,0,0,0,0,30,0,1,,,,
404,시크릿,2009-12-03,9,7979591607,4.02E+00,1046787,397,0,0,0,1,0,0,0,0,31,1,1,,,,
405,그놈이다,2015-10-28,15,8098811152,4.02E+00,1046313,681,0,0,0,1,0,0,0,0,31,1,0,,,,
406,마음이...,2006-10-26,6,7771431862,4.02E+00,1042166,66,0,0,1,0,0,0,0,0,17,0,1,,,,
407,점박이:한반도의 공룡3D,2012-01-26,12,9621468000,4.02E+00,1040636,457,0,0,1,0,0,0,0,0,1,0,1,,,,
408,서편제,1993-04-10,-7,7835380665,4.02E+00,1035741,16,1,0,0,0,0,0,0,0,20,0,0,,,,
409,파괴된 사나이,2010-07-01,10,7820538614,4.02E+00,1030285,190,0,0,0,1,0,0,0,0,18,0,0,,,,
410,오직 그대만,2011-10-20,11,7591008500,4.02E+00,1027622,435,0,0,1,0,0,0,0,0,28,0,1,,,,
411,이중간첩,2003-01-24,3,7484144760,4.02E+00,1025928,53,0,0,1,0,0,0,0,0,21,0,1,,,,
412,우아한 세계,2007-04-05,7,7483072395,4.02E+00,1025781,103,0,1,0,0,0,0,0,0,27,0,1,,,,
413,김관장 대 김관장 대 김관장,2007-02-08,7,7481883310,4.02E+00,1025618,76,0,0,0,0,0,1,0,0,32,0,1,,,,
414,데이지,2006-03-09,6,7463485320,4.02E+00,1023096,90,0,0,1,0,0,0,0,0,22,0,1,,,,
415,야수,2006-01-12,6,7412828840,4.02E+00,1016152,87,0,1,0,0,0,0,0,0,29,0,1,,,,
416,심장이 뛴다,2011-01-05,11,7538083500,4.02E+00,1006947,445,0,0,1,0,0,0,0,0,23,0,1,,,,
417,분신사바,2004-08-05,4,7284918249,4.02E+00,1001125,40,0,0,0,1,0,0,0,0,20,0,0,,,,
418,염력,2018-01-31,18,7484684112,4.02E+00,990111,1099,0,1,0,0,0,0,0,0,17,6,0,,,,
419,방황하는 칼날,2014-04-10,14,7828526800,4.02E+00,989881,594,0,0,1,0,0,0,0,0,17,0,1,,,,
420,강력 3반,2005-09-29,5,7592012952,4.02E+00,989573,41,0,1,0,0,0,0,0,0,26,0,1,,,,
421,방가? 방가!,2010-09-30,10,7129363141,4.01E+00,989021,259,0,0,0,0,0,1,0,0,27,0,0,,,,
422,미쓰 와이프,2015-08-13,15,7387086869,4.01E+00,988451,437,0,0,0,0,0,1,0,0,17,0,0,,,,
423,시체가 돌아왔다,2012-03-29,12,7360631000,4.01E+00,986923,435,0,0,0,0,0,1,0,0,21,0,1,,,,
424,원더풀 라디오,2012-01-05,12,7255598000,4.01E+00,986287,474,0,0,1,0,0,0,0,0,28,0,1,,,,
425,전국노래자랑,2013-05-01,13,6685476000,4.01E+00,977873,581,0,0,1,0,0,0,0,0,26,0,1,,,,
426,내 사랑,2007-12-18,7,432940833,4.01E+00,977401,56,0,0,1,0,0,0,0,0,30,0,1,,,,
427,돈 크라이 마미,2012-11-22,12,6808882099,4.01E+00,975462,444,0,0,0,0,0,0,0,0,17,0,0,,,,
428,바보,2008-02-28,8,6301818833,4.01E+00,974554,263,0,0,1,0,0,0,0,0,22,0,1,,,,
429,"고산자, 대동여지도",2016-09-07,16,7801007258,4.01E+00,974262,765,1,0,0,0,0,0,0,0,32,0,1,,,,
430,우리는 형제입니다,2014-10-23,14,7263255399,4.01E+00,970373,566,0,0,1,0,0,0,0,0,32,1,1,,,,
431,백야행,2009-11-19,9,7170684217,4.01E+00,956767,398,0,0,1,0,0,0,0,0,17,0,0,,,,
432,허삼관,2015-01-14,15,7405415569,4.01E+00,955175,621,0,0,0,0,0,1,0,0,17,2,0,,,,
433,점쟁이들,2012-10-03,12,6731202500,4.01E+00,953682,479,0,0,1,0,0,0,0,0,22,0,0,,,,
434,불한당: 나쁜 놈들의 세상,2017-05-17,17,7654331125,4.01E+00,951797,860,0,1,0,0,0,0,0,0,18,1,1,,,,
435,상사부일체,2007-09-19,7,8902950125,4.01E+00,947510,64,0,0,0,0,0,1,0,0,30,0,0,,,,
436,오로라 공주,2005-10-27,5,7294029145,4.01E+00,946372,47,0,0,1,0,0,0,0,0,26,0,0,,,,
437,GP 506,2008-04-03,8,6316842000,4.01E+00,945185,355,0,1,0,1,0,0,0,0,24,0,1,,,,
438,낭만자객,2003-12-05,3,6428491024,4.01E+00,940134,44,0,0,0,0,0,1,0,0,31,0,1,,,,
439,평행이론,2010-02-18,10,6905140883,4.01E+00,937029,272,0,0,1,0,0,0,0,0,28,0,1,,,,
440,투 가이즈,2004-07-09,4,6294019245,4.01E+00,931000,39,0,0,0,0,0,1,0,0,32,0,0,,,,
441,뽀로로 극장판 슈퍼썰매 대모험,2013-01-23,13,6819979500,4.01E+00,929985,459,0,0,1,0,0,0,0,0,1,0,1,,,,
442,불어라 봄바람,2003-09-04,3,6201924913,4.01E+00,924190,41,0,0,1,0,0,0,0,0,17,0,0,,,,
443,영어완전정복,2003-11-05,3,6777820070,4.01E+00,917782,50,0,0,1,0,0,0,0,0,15,0,0,,,,
